"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"498",1,1,0,5,3,0,1
"499",0,1,1,4,2,1,1
"500",1,0,0,5,2,0,0
"501",3,2,0,5,6,0,1
"502",0,0,1,4,1,1,1
"503",0,2,0,4,3,1,0
"504",2,2,0,5,5,0,1
"505",0,0,0,5,1,0,1
"506",1,0,2,4,2,0,1
"507",1,2,0,5,4,0,1
"508",0,1,0,4,2,1,0
"509",0,0,0,4,1,1,1
"510",1,1,0,5,3,0,0
"511",0,0,2,4,1,0,1
"512",1,1,1,4,3,0,0
"513",2,0,0,4,3,0,1
"514",1,0,0,5,2,0,1
"515",1,0,1,4,2,0,0
"516",1,0,0,4,2,0,1
"517",0,0,0,5,1,0,1
"518",0,0,0,4,1,0,1
"519",1,1,2,5,3,0,1
"520",0,0,1,4,1,0,0
"521",2,0,2,4,3,1,0
"522",0,1,2,5,2,0,0
"523",1,1,0,4,3,0,0
"524",1,0,0,4,2,0,0
"525",0,0,2,5,1,0,1
"526",1,0,2,4,2,1,0
"527",1,1,1,5,3,0,0
"528",0,0,2,4,1,1,1
"529",0,0,0,4,1,0,0
"530",3,2,1,4,6,1,0
"531",1,1,2,4,3,0,0
"532",0,1,1,5,2,0,1
"533",0,0,1,5,1,0,0
"534",0,1,2,4,2,0,0
"535",2,2,1,4,5,1,1
"536",1,2,1,4,4,1,0
"537",0,0,2,4,1,0,1
"538",2,2,0,5,5,0,0
"539",1,2,0,5,4,0,1
"540",2,1,1,4,4,0,1
"541",1,1,1,4,3,1,0
"542",1,0,1,4,2,1,0
"543",1,1,1,4,3,0,0
"544",1,1,0,5,3,0,1
"545",1,0,1,4,2,0,0
"546",0,0,1,4,1,1,1
"547",0,1,0,5,2,0,0
"548",0,0,0,5,1,0,0
"549",0,0,1,4,1,0,0
"550",0,0,1,4,1,0,1
"551",1,2,0,5,4,0,1
"552",1,2,0,4,4,0,1
"553",2,0,0,4,3,0,0
"554",1,0,0,4,2,0,1
"555",1,1,0,5,3,0,1
"556",1,1,0,4,3,0,0
"557",0,1,0,5,2,0,1
"558",0,1,0,4,2,0,1
"559",0,0,0,4,1,0,1
"560",0,0,0,5,1,0,0
"561",1,2,2,3,4,4,1
"562",0,0,0,4,1,0,1
"563",1,1,2,3,3,4,1
"564",1,1,2,4,3,0,1
"565",1,1,2,3,3,3,0
"566",0,1,2,4,2,0,1
"567",0,1,2,3,2,3,0
"568",0,1,2,3,2,4,1
"569",0,0,2,4,1,0,1
"570",0,0,2,3,1,3,1
"571",0,0,2,3,1,4,1
"572",2,2,1,3,6,2,0
"573",2,2,1,4,5,0,0
"574",3,2,2,3,6,3,0
"575",2,2,2,3,5,3,1
"576",2,2,1,3,5,2,0
"577",1,2,1,4,4,0,1
"578",1,1,1,4,3,0,0
"579",1,2,2,3,4,3,0
"580",2,1,1,3,4,2,0
"581",1,1,2,3,3,3,1
"582",1,0,1,4,2,0,1
"583",2,0,1,3,3,2,0
"584",1,0,1,3,2,2,0
"585",0,1,2,3,2,3,1
"586",0,0,1,4,1,0,1
"587",1,1,0,4,3,0,1
"588",0,0,2,3,1,2,1
"589",0,0,1,3,1,2,0
"590",0,1,0,4,2,0,1
"591",2,2,1,3,6,2,1
"592",0,0,1,3,1,2,0
"593",0,0,0,4,1,0,1
"594",2,2,1,3,5,2,0
"595",1,2,1,3,4,0,0
"596",2,1,1,3,4,2,1
"597",1,1,1,3,3,0,0
"598",0,0,2,4,1,2,0
"599",2,2,1,4,5,2,0
"600",1,1,1,3,3,2,0
"601",1,0,1,3,2,0,1
"602",0,1,1,3,2,2,0
"603",0,0,1,3,1,0,0
"604",1,2,1,4,4,2,0
"605",1,1,1,4,3,2,1
"606",0,0,1,3,1,1,0
"607",3,1,1,3,5,0,0
"608",2,1,0,3,4,4,1
"609",2,1,1,3,4,0,0
"610",1,0,1,4,2,2,0
"611",1,1,1,3,3,0,0
"612",1,1,0,3,3,4,0
"613",0,0,1,4,1,2,1
"614",1,0,0,3,2,4,1
"615",1,1,1,4,3,0,0
"616",1,0,1,3,2,0,1
"617",0,0,0,3,1,4,0
"618",0,1,1,4,2,0,1
"619",0,0,1,3,1,0,0
"620",0,0,1,4,1,0,0
"621",1,2,0,3,5,0,1
"622",0,2,0,3,3,1,1
"623",1,2,0,3,4,0,0
"624",3,2,0,4,6,0,1
"625",0,1,0,3,2,1,1
"626",0,2,0,3,3,0,1
"627",0,0,0,3,1,1,0
"628",2,2,0,4,5,0,1
"629",2,1,0,4,4,0,0
"630",0,1,0,3,2,0,0
"631",2,2,0,3,7,0,0
"632",0,0,0,3,1,0,0
"633",2,0,0,4,3,0,1
"634",1,2,0,3,6,0,0
"635",1,0,0,4,2,0,0
"636",1,2,0,3,5,0,1
"637",1,2,2,3,4,0,0
"638",1,2,0,3,4,0,0
"639",1,1,2,3,3,0,1
"640",0,0,0,4,1,0,1
"641",0,1,2,3,2,0,1
"642",1,1,0,3,3,0,0
"643",1,0,2,3,2,0,0
"644",0,0,2,3,1,0,1
"645",0,0,2,3,1,0,1
"646",1,0,0,3,2,0,0
"647",0,0,0,3,1,0,0
"648",1,2,1,3,5,0,0
"649",0,0,1,3,1,0,1
"650",2,1,0,3,4,0,0
"651",0,2,2,3,4,2,0
"652",1,2,1,3,4,0,1
"653",0,2,1,3,3,0,1
"654",0,2,2,3,3,2,0
"655",1,1,0,3,3,0,0
"656",1,0,0,3,2,0,1
"657",0,1,2,3,2,2,0
"658",0,1,1,3,2,0,1
"659",0,0,1,3,1,0,1
"660",0,0,2,3,1,2,0
"661",0,0,0,3,1,0,1
"662",1,0,0,3,2,0,1
"663",2,1,2,2,4,0,1
"664",3,1,2,3,5,0,1
"665",2,1,2,3,4,0,1
"666",1,1,2,2,3,0,1
"667",0,0,0,3,1,0,1
"668",3,2,2,3,6,0,0
"669",2,0,2,3,3,0,1
"670",0,1,2,2,2,0,0
"671",1,0,2,3,2,0,0
"672",0,0,2,2,1,0,1
"673",3,1,2,3,5,0,0
"674",1,0,2,2,2,1,1
"675",2,1,2,3,4,0,0
"676",0,0,2,3,1,0,0
"677",1,1,2,3,3,0,1
"678",1,2,1,3,4,0,1
"679",0,0,2,2,1,1,0
"680",3,2,2,2,8,0,0
"681",0,1,2,3,2,0,1
"682",1,1,1,3,3,0,0
"683",0,0,2,3,1,0,1
"684",3,2,2,2,7,0,1
"685",0,1,1,3,2,0,1
"686",0,0,1,3,1,0,1
"687",3,2,2,2,6,0,1
"688",2,2,1,3,5,0,0
"689",2,2,2,2,5,0,0
"690",1,2,1,3,4,0,1
"691",0,2,0,3,3,0,0
"692",2,1,2,2,4,0,1
"693",0,1,0,3,2,0,0
"694",1,1,1,3,3,0,0
"695",0,0,0,3,1,0,1
"696",1,0,1,3,2,0,0
"697",1,1,2,2,3,0,0
"698",0,0,1,3,1,0,1
"699",1,0,2,2,2,0,0
"700",2,2,2,2,6,3,1
"701",1,2,2,2,5,3,0
"702",0,0,2,2,1,0,0
"703",2,2,0,3,7,0,0
"704",1,2,2,2,4,3,1
"705",1,2,1,2,4,0,0
"706",2,2,0,3,6,0,1
"707",1,1,1,2,3,0,1
"708",2,2,0,3,5,0,0
"709",0,2,2,2,3,3,0
"710",1,0,1,2,2,0,0
"711",0,1,2,2,2,3,1
"712",2,1,0,3,4,0,0
"713",0,0,1,2,1,0,0
"714",0,0,2,2,1,3,1
"715",1,1,0,3,3,0,0
"716",2,2,1,2,7,3,1
"717",0,1,0,3,2,0,1
"718",3,1,0,2,5,0,0
"719",0,0,0,3,1,0,1
"720",2,2,1,2,6,3,0
"721",3,0,0,2,4,0,0
"722",2,2,1,2,5,3,1
"723",2,0,0,2,3,0,0
"724",0,2,2,2,3,0,1
"725",0,1,2,2,2,0,1
"726",2,1,1,2,4,3,0
"727",1,0,0,2,2,0,0
"728",0,0,2,2,1,0,1
"729",0,0,0,2,1,0,0
"730",1,1,1,2,3,3,0
"731",1,2,1,2,4,0,1
"732",1,1,2,2,3,3,0
"733",0,1,1,2,2,3,0
"734",0,2,1,2,3,0,1
"735",0,1,2,2,2,3,0
"736",0,0,1,2,1,3,1
"737",0,0,2,2,1,3,1
"738",3,2,0,2,7,3,0
"739",0,1,1,2,2,0,1
"740",0,0,1,2,1,0,0
"741",1,1,1,2,3,5,0
"742",3,2,0,2,6,3,1
"743",0,2,0,2,3,0,1
"744",1,0,1,2,2,5,0
